H_true,L,method,mean,std,atm3,n_used
0.5,1000,CP,0.49900420756198055,0.03629881363394751,7.647376769879382e-05,10000
0.5,1000,DFA,0.5088457223247091,0.03892519256243477,9.538262430650725e-05,10000
0.5,1000,HFD,0.4964993491058629,0.04623566294415862,0.0001578460635983725,10000
0.5,1000,PSD,0.5313949993902048,0.14857804650163675,0.005297380685462875,10000
0.5,1000,SVA,0.4943384399797812,0.04405270847857672,0.00013677787443067233,10000
0.5,2000,CP,0.4997049703669066,0.025467780366049318,2.6521066862247244e-05,10000
0.5,2000,DFA,0.5068575141839802,0.028943590196770036,3.876222870058246e-05,10000
0.5,2000,HFD,0.49733611953692525,0.03747344891450515,8.382273572017053e-05,10000
0.5,2000,PSD,0.5195860838624047,0.09240371364378422,0.0012686387391002774,10000
0.5,2000,SVA,0.4955419075154061,0.03594826060520871,7.438952340576657e-05,10000
0.5,5000,CP,0.4995476136284534,0.01594748946553404,6.475062853069413e-06,10000
0.5,5000,DFA,0.5044551926645101,0.020310912651427898,1.3300449344857069e-05,10000
0.5,5000,HFD,0.49854720718177775,0.02869496062976619,3.773456176981554e-05,10000
0.5,5000,PSD,0.5089447930468407,0.05143009622555168,0.00021594997269779018,10000
0.5,5000,SVA,0.4971005410597247,0.02725353383333832,3.231140983484769e-05,10000
0.6,1000,CP,0.5996220882497432,0.03230489112937366,5.373141408299409e-05,10000
0.6,1000,DFA,0.6077414399749654,0.043232938933486356,0.00012868445390854094,10000
0.6,1000,HFD,0.5970319830229049,0.04975869124305874,0.00019608239970135086,10000
0.6,1000,PSD,0.6469819985680517,0.1475101593441477,0.005174556245594532,10000
0.6,1000,SVA,0.5941009924950389,0.04715741138577087,0.0001683849564950402,10000
0.6,2000,CP,0.5996761656066272,0.022497527807535795,1.8080895959465673e-05,10000
0.6,2000,DFA,0.6042704846165439,0.03184615066144651,5.119405898941171e-05,10000
0.6,2000,HFD,0.5972203155170434,0.040643642201343394,0.00010576471350948966,10000
0.6,2000,PSD,0.6232871844656531,0.09137219668876591,0.0012328610416787677,10000
0.6,2000,SVA,0.59481010029581,0.03882446058190485,9.217320125868081e-05,10000
0.6,5000,CP,0.5997702894104179,0.014313897370523238,4.609679259836763e-06,10000
0.6,5000,DFA,0.6029971048795253,0.023064790749413547,1.9569898667368624e-05,10000
0.6,5000,HFD,0.5981413891401335,0.03233788189110496,5.407098523831471e-05,10000
0.6,5000,PSD,0.6113258485970046,0.05214436128542924,0.00022872459566358755,10000
0.6,5000,SVA,0.5963491078350059,0.030490807914803224,4.547123632994679e-05,10000
0.7,1000,CP,0.6988766594608773,0.029482720733436066,4.115494389651484e-05,10000
0.7,1000,DFA,0.7046267504346121,0.046735555802221156,0.00016267062112850205,10000
0.7,1000,HFD,0.6941866223971869,0.05440491669685095,0.0002572217868033285,10000
0.7,1000,PSD,0.7541245672869179,0.14559839901553948,0.00498722663954519,10000
0.7,1000,SVA,0.690084987852833,0.05032226336232986,0.0002034295300793167,10000
0.7,2000,CP,0.7000313359373654,0.02082930926886843,1.4500958300751898e-05,10000
0.7,2000,DFA,0.7035421217782363,0.0348017735753365,6.73356874642326e-05,10000
0.7,2000,HFD,0.6959061930670237,0.04557991136231809,0.00015313495898137215,10000
0.7,2000,PSD,0.7285136442753772,0.09097667612203278,0.0011997224548057,10000
0.7,2000,SVA,0.6925440116553568,0.042750479860067775,0.00012626041474938905,10000
0.7,5000,CP,0.6997897127371432,0.013330854231483662,3.778765389690323e-06,10000
0.7,5000,DFA,0.7016144480983042,0.02498441389762004,2.4802855536234146e-05,10000
0.7,5000,HFD,0.6962762425403785,0.03770557206915785,8.741810422540346e-05,10000
0.7,5000,PSD,0.7128215259896981,0.051746663231238055,0.00022163935780925107,10000
0.7,5000,SVA,0.6937953713456557,0.03507182795274319,6.981892087628074e-05,10000
0.8,1000,CP,0.7985979396410139,0.03120498213023741,5.037091662628589e-05,10000
0.8,1000,DFA,0.8035204677020783,0.05047513302966567,0.0002048825030411055,10000
0.8,1000,HFD,0.7903174801658761,0.060525904135230305,0.0003476342189801777,10000
0.8,1000,PSD,0.8657824956564638,0.14523833758486324,0.004983257557125287,10000
0.8,1000,SVA,0.7842459202303094,0.054733040121584,0.0002558320858909554,10000
0.8,2000,CP,0.7990523591441524,0.02325850211637179,2.1639195789504815e-05,10000
0.8,2000,DFA,0.8021514491186085,0.037159357041904,8.190069890519844e-05,10000
0.8,2000,HFD,0.7928871426732649,0.05197239315173788,0.00022471657806255013,10000
0.8,2000,PSD,0.8365950419317006,0.09035817793025436,0.001183963455210941,10000
0.8,2000,SVA,0.7875675749506081,0.04718671120618785,0.00016661096586930818,10000
0.8,5000,CP,0.7996930037293019,0.016223289634980764,7.462624792873348e-06,10000
